food,Caloric Value,Carbohydrates,Protein,Fat,Sugars,Fiber,meal_type
Muesli with low‑fat milk,200,35.0,6.0,4.0,10.0,5.0,breakfast
Overnight oats with fruits,190,32.0,6.0,4.0,8.0,5.0,breakfast
Chia seed pudding,180,15.0,6.0,10.0,5.0,8.0,breakfast
Papaya (1 cup),55,14.0,0.9,0.2,11.0,2.5,breakfast
Banana (1 medium),105,27.0,1.3,0.3,14.0,3.1,breakfast
Mixed fruit salad,80,20.0,1.0,0.5,15.0,3.0,breakfast
Oatmeal with berries,150,27.0,5.0,3.0,8.0,4.0,breakfast
Scrambled eggs (2 eggs),180,1.0,13.0,14.0,0.5,0.0,breakfast
Whole wheat toast (2 slices),160,28.0,6.0,2.0,2.0,4.0,breakfast
Avocado toast (whole wheat),220,25.0,6.0,11.0,1.5,5.0,breakfast
Greek yogurt parfait,180,25.0,10.0,5.0,12.0,2.0,breakfast
"Pancakes (2 small, whole wheat)",200,35.0,6.0,5.0,6.0,3.0,breakfast
"French toast (whole wheat, light syrup)",220,30.0,8.0,8.0,8.0,3.0,breakfast
"Breakfast burrito (whole wheat tortilla, eggs, veggies)",250,30.0,12.0,10.0,3.0,5.0,breakfast
"Smoothie (banana, spinach, almond milk)",140,28.0,4.0,2.0,15.0,4.0,breakfast
Protein shake (whey with water),120,2.0,25.0,1.0,1.0,0.0,breakfast
Cottage cheese with pineapple,150,12.0,15.0,5.0,10.0,1.0,breakfast
Hard boiled eggs (2),140,1.0,12.0,10.0,0.5,0.0,breakfast
Bagel (whole wheat) with low‑fat cream cheese,260,45.0,10.0,5.0,5.0,4.0,breakfast
English muffin with peanut butter,230,30.0,9.0,9.0,4.0,3.0,breakfast
Granola with low‑fat yogurt,220,35.0,8.0,6.0,12.0,4.0,breakfast
Fruit salad,80,20.0,1.0,0.5,15.0,3.0,breakfast
Quinoa breakfast bowl,190,32.0,6.0,4.0,5.0,4.0,breakfast
Chia pudding with almond milk,170,14.0,5.0,10.0,5.0,8.0,breakfast
Steel cut oats with nuts,200,30.0,6.0,7.0,2.0,5.0,breakfast
Rice cakes with avocado,150,18.0,3.0,8.0,1.0,3.0,breakfast
Egg white scramble,100,1.0,20.0,2.0,0.5,0.0,breakfast
Smoked salmon on whole wheat toast,210,25.0,15.0,6.0,2.0,3.0,breakfast
Breakfast wrap with eggs and veggies,230,28.0,12.0,8.0,3.0,4.0,breakfast
Hash browns (baked),150,28.0,2.0,4.0,1.0,2.5,breakfast
Turkey bacon (2 slices),70,1.0,8.0,4.0,0.0,0.0,breakfast
Low‑fat cream cheese on rice cakes,120,15.0,4.0,5.0,2.0,1.0,breakfast
Peanut butter on whole wheat toast,230,25.0,9.0,12.0,3.0,4.0,breakfast
Berry smoothie bowl,140,25.0,5.0,2.5,12.0,4.0,breakfast
Kefir with berries,130,12.0,8.0,4.0,10.0,1.0,breakfast
Whole grain cereal with milk,150,28.0,5.0,2.0,8.0,3.0,breakfast
Omelette with mushrooms and spinach,170,3.0,12.0,12.0,1.5,1.0,breakfast
"Breakfast sandwich (egg white, cheese on whole wheat)",200,25.0,14.0,6.0,2.0,3.0,breakfast
Frittata with vegetables,160,4.0,11.0,11.0,2.0,1.5,breakfast
"Quiche (mini, crustless)",180,6.0,10.0,13.0,2.0,1.0,breakfast
Cottage cheese with peaches,130,10.0,14.0,4.0,8.0,1.0,breakfast
Yogurt with granola,180,28.0,6.0,5.0,12.0,2.0,breakfast
Apple cinnamon oatmeal,160,30.0,5.0,2.5,10.0,4.0,breakfast
Blueberry muffins (whole wheat),190,32.0,5.0,5.0,12.0,3.0,breakfast
Banana nut bread (slice),210,35.0,4.0,7.0,15.0,2.0,breakfast
Pumpkin spice oatmeal,150,28.0,5.0,2.5,8.0,4.0,breakfast
Cranberry walnut oatmeal,170,29.0,5.5,4.0,9.0,4.5,breakfast
Almond butter on toast,220,24.0,7.0,11.0,3.0,4.0,breakfast
Sunflower seeds with yogurt,160,10.0,8.0,10.0,5.0,2.0,breakfast
Flaxseed porridge,140,20.0,6.0,4.0,2.0,6.0,breakfast
Hemp seed smoothie,180,15.0,8.0,10.0,5.0,4.0,breakfast
Chocolate protein smoothie,190,20.0,20.0,4.0,10.0,3.0,breakfast
Mixed berry smoothie,130,25.0,4.0,2.0,15.0,4.0,breakfast
"Green smoothie (kale, apple)",120,22.0,3.0,2.0,12.0,5.0,breakfast
"Tropical smoothie (mango, pineapple)",140,28.0,2.0,1.5,20.0,3.0,breakfast
Watermelon mint cooler,60,15.0,1.0,0.0,12.0,1.0,breakfast
Fresh orange juice (small),45,10.0,0.7,0.2,8.0,0.5,breakfast
Grapefruit (half),40,10.0,0.8,0.1,8.0,1.5,breakfast
Kiwifruit (2),90,22.0,1.6,0.8,13.0,4.0,breakfast
Strawberries (1 cup),50,12.0,1.0,0.5,7.0,3.0,breakfast
Raspberries (1 cup),65,15.0,1.5,0.8,5.0,8.0,breakfast
Blackberries (1 cup),60,14.0,2.0,0.5,7.0,8.0,breakfast
Blueberries (1 cup),85,21.0,1.1,0.5,15.0,4.0,breakfast
Cantaloupe (1 cup),55,13.0,1.4,0.3,12.0,1.5,breakfast
Honeydew melon (1 cup),60,16.0,1.0,0.2,14.0,1.5,breakfast
Peach (1 medium),60,15.0,1.4,0.4,13.0,2.0,breakfast
Plum (2),60,15.0,1.0,0.4,13.0,2.0,breakfast
Apricots (3),60,14.0,1.5,0.5,12.0,2.5,breakfast
Cherries (1 cup),90,22.0,1.6,0.3,18.0,3.0,breakfast
Grapes (1 cup),100,27.0,1.0,0.2,23.0,1.5,breakfast
Pineapple (1 cup),80,21.0,1.0,0.2,16.0,2.5,breakfast
Mango (1 cup),100,25.0,1.4,0.4,23.0,3.0,breakfast
Pears (1 medium),100,27.0,0.6,0.2,17.0,5.5,breakfast
Apple (1 medium),95,25.0,0.5,0.3,19.0,4.5,breakfast
Orange (1 medium),65,16.0,1.3,0.2,12.0,3.5,breakfast
Banana (1 medium),105,27.0,1.3,0.3,14.0,3.1,breakfast
Dates (2),110,30.0,1.0,0.2,27.0,3.0,breakfast
Figs (2),100,26.0,1.5,0.4,20.0,4.0,breakfast
Prunes (3),70,18.0,0.8,0.1,11.0,2.0,breakfast
Raisins (small box),130,34.0,1.3,0.2,29.0,2.0,breakfast
Wheat bran cereal with milk,140,28.0,5.0,2.0,6.0,5.0,breakfast
Corn flakes with milk,150,30.0,4.0,2.0,8.0,1.0,breakfast
Rice krispies with milk,140,30.0,3.0,2.0,8.0,0.5,breakfast
Special K with berries,130,26.0,5.0,1.5,8.0,2.0,breakfast
Cheerios with milk,140,26.0,5.0,2.0,6.0,3.0,breakfast
Frosted mini wheats with milk,170,35.0,5.0,2.0,10.0,4.0,breakfast
"Brown rice (cooked, 1 cup)",215,45.0,5.0,1.8,0.5,3.5,lunch
"Red rice (cooked, 1 cup)",210,44.0,5.0,1.5,0.4,3.0,lunch
Jeera rice (1 cup),240,48.0,4.5,3.5,0.5,1.5,lunch
Vegetable pulao (1 cup),230,42.0,5.5,4.0,3.0,3.0,lunch
Lemon rice (1 cup),220,44.0,4.0,3.0,1.0,2.0,lunch
Curd rice (1 cup),210,38.0,6.0,4.0,3.5,1.5,lunch
Tomato rice (1 cup),215,42.0,4.0,3.0,4.0,2.0,lunch
Coconut rice (1 cup),260,40.0,4.5,8.0,2.0,3.0,lunch
Mint rice (1 cup),225,43.0,4.2,3.5,1.5,2.5,lunch
Peas pulao (1 cup),235,44.0,6.0,4.0,2.5,4.0,lunch
Mushroom pulao (1 cup),240,40.0,6.5,5.0,2.0,3.5,lunch
Soya pulao (1 cup),250,38.0,10.0,6.0,2.5,4.0,lunch
Paneer pulao (1 cup),280,40.0,10.0,8.0,2.0,2.5,lunch
Spinach rice (1 cup),210,40.0,5.5,3.0,1.5,4.0,lunch
Cabbage rice (1 cup),200,39.0,4.5,2.8,3.0,3.5,lunch
Carrot rice (1 cup),215,42.0,4.5,3.0,4.0,3.0,lunch
Beans rice (1 cup),210,41.0,5.0,3.0,2.5,3.5,lunch
Fenugreek rice (1 cup),220,42.0,5.0,3.5,2.0,4.0,lunch
Bisi bele bath (1 cup),250,45.0,8.0,4.0,5.0,5.0,lunch
"Pongal (ven pongal, 1 cup)",240,40.0,6.0,6.0,2.0,2.5,lunch
Khichdi (1 cup),220,38.0,7.0,4.0,1.5,3.5,lunch
Quinoa khichdi (1 cup),210,34.0,7.5,4.0,1.5,4.5,lunch
Oats khichdi (1 cup),200,32.0,7.0,3.5,1.5,4.0,lunch
Bajra khichdi (1 cup),215,38.0,6.5,3.5,1.0,4.5,lunch
Ragi khichdi (1 cup),210,40.0,6.0,3.0,1.0,5.0,lunch
2 whole wheat rotis with dal (1 bowl),320,55.0,12.0,6.0,2.0,8.0,lunch
2 jowar rotis with mixed vegetable sabzi (1 bowl),300,52.0,10.0,5.5,3.0,9.0,lunch
2 bajra rotis with saag (1 bowl),320,50.0,11.0,7.0,2.5,10.0,lunch
2 missi rotis with chole (1 bowl),380,58.0,14.0,8.0,3.0,9.0,lunch
2 multigrain rotis with paneer bhurji (1 bowl),350,48.0,15.0,10.0,2.5,7.0,lunch
2 ragi rotis with dal (1 bowl),300,52.0,11.0,5.0,2.0,9.0,lunch
2 phulkas with bhindi masala (1 bowl),290,50.0,8.0,6.0,3.0,7.0,lunch
"2 tandoori rotis with dal makhani (light, 1 bowl)",340,54.0,12.0,7.0,2.5,6.0,lunch
1 whole wheat naan with chana masala (1 bowl),350,58.0,12.0,7.0,3.5,7.0,lunch
1 whole wheat kulcha with aloo matar (1 bowl),330,56.0,9.0,6.5,3.0,6.0,lunch
1 paratha (plain) with raita (1 bowl),310,45.0,8.0,10.0,3.0,4.5,lunch
2 theplas with curd (1 bowl),320,52.0,10.0,8.0,3.5,7.0,lunch
2 methi rotis with aloo sabzi (1 bowl),300,52.0,9.0,6.0,2.5,8.0,lunch
2 makki rotis with sarson saag (1 bowl),350,55.0,10.0,9.0,3.0,9.0,lunch
2 rice rotis with vegetable kurma (1 bowl),300,54.0,7.0,5.0,3.0,3.0,lunch
Moong dal tadka (1 bowl),150,22.0,9.0,3.5,1.5,5.0,lunch
Masoor dal (1 bowl),140,21.0,8.5,3.0,1.5,4.5,lunch
Toor dal (1 bowl),145,22.0,8.0,3.0,2.0,5.0,lunch
Urad dal (1 bowl),160,20.0,9.0,4.0,1.5,4.5,lunch
Chana dal (1 bowl),170,24.0,8.5,4.0,2.5,5.5,lunch
"Mixed dal (panchmel dal, 1 bowl)",155,22.0,9.0,3.5,2.0,5.0,lunch
"Dal makhani (light, 1 bowl)",180,22.0,8.0,6.0,2.5,5.0,lunch
Sambar (1 bowl),100,15.0,5.0,2.5,3.0,4.0,lunch
Rasam (1 bowl),40,6.0,2.0,0.5,1.5,1.5,lunch
Dal dhokli (1 bowl),200,30.0,7.0,4.0,2.5,4.0,lunch
Kadhi (1 bowl),130,10.0,5.0,6.0,4.0,1.5,lunch
Punjabi chole (1 bowl),190,28.0,8.0,5.0,3.5,7.0,lunch
"Rajma (kidney bean curry, 1 bowl)",180,25.0,8.0,4.0,2.5,6.5,lunch
"Lobia curry (black‑eyed pea, 1 bowl)",170,25.0,8.0,3.0,2.5,6.0,lunch
Kala chana curry (1 bowl),185,28.0,8.5,3.5,3.0,7.0,lunch
Soybean chunk curry (1 bowl),190,12.0,15.0,7.0,2.5,5.0,lunch
Sprouted moong curry (1 bowl),140,20.0,7.0,2.5,2.5,5.0,lunch
"Matar paneer (light, 1 bowl)",200,12.0,10.0,10.0,3.5,3.5,lunch
"Palak paneer (light, 1 bowl)",180,10.0,10.0,9.0,3.0,4.0,lunch
"Paneer butter masala (light, 1 bowl)",210,10.0,11.0,12.0,5.0,2.5,lunch
"Aloo gobi (dry, 1 bowl)",130,15.0,3.0,5.5,2.5,3.5,lunch
Bhindi masala (1 bowl),120,10.0,2.5,6.0,3.0,4.0,lunch
Baingan bharta (1 bowl),100,12.0,2.5,4.5,5.0,5.0,lunch
"Mix vegetable curry (dry, 1 bowl)",110,15.0,3.0,4.0,4.0,4.0,lunch
Lauki curry (1 bowl),70,11.0,2.0,1.5,3.5,3.0,lunch
Tinda curry (1 bowl),75,11.0,2.0,1.8,3.5,3.0,lunch
Karela curry (1 bowl),80,10.0,2.5,2.5,2.5,4.0,lunch
Methi aloo (1 bowl),125,15.0,3.0,5.0,3.0,4.0,lunch
Drumstick curry (1 bowl),90,10.0,3.0,3.5,3.0,5.0,lunch
"Cabbage curry (dry, 1 bowl)",75,10.0,2.0,2.0,3.5,3.5,lunch
"Cauliflower curry (dry, 1 bowl)",85,9.0,3.0,3.5,2.5,3.5,lunch
Beans thoran (1 bowl),110,10.0,3.0,6.0,2.5,5.0,lunch
Cabbage thoran (1 bowl),95,9.0,2.5,5.0,3.0,4.0,lunch
Avial (1 bowl),130,12.0,3.5,7.0,3.5,5.0,lunch
Erissery (1 bowl),120,14.0,3.0,6.0,4.0,4.0,lunch
Olan (1 bowl),90,10.0,2.5,4.0,3.0,3.0,lunch
Kootu (1 bowl),130,18.0,6.0,3.5,3.0,5.0,lunch
Poricha kootu (1 bowl),120,17.0,5.5,3.0,2.5,4.5,lunch
Puli kuzhambu (1 bowl),90,10.0,2.5,3.5,3.0,2.5,lunch
Vatha kuzhambu (1 bowl),85,9.0,2.5,3.5,2.5,2.5,lunch
"Potato curry (dry, 1 bowl)",140,22.0,2.5,4.5,1.5,2.5,lunch
Green beans stir‑fry (1 bowl),80,10.0,2.5,3.0,2.5,4.0,lunch
Capsicum curry (1 bowl),95,11.0,2.0,4.5,4.0,2.5,lunch
Spinach curry (1 bowl),70,8.0,3.5,2.5,1.5,4.5,lunch
Bottle gourd sabzi (1 bowl),60,10.0,1.5,1.2,3.0,2.5,lunch
"Tandoori chicken (without skin, 2 pieces)",180,2.0,28.0,6.0,0.5,0.2,lunch
"Chicken curry (low oil, 1 bowl)",200,5.0,22.0,9.0,2.0,1.5,lunch
Chicken stew (1 bowl),180,6.0,20.0,8.0,2.5,1.5,lunch
"Pepper chicken (dry, 1 bowl)",200,4.0,25.0,8.5,0.5,0.5,lunch
Chicken do pyaza (1 bowl),210,6.0,23.0,9.0,2.5,1.0,lunch
"Egg curry (2 eggs, 1 bowl)",190,6.0,11.0,12.0,2.5,2.0,lunch
"Fish curry (south Indian, 1 bowl)",170,5.0,20.0,7.0,2.0,1.5,lunch
Fish moilee (1 bowl),190,5.0,18.0,10.0,2.5,1.0,lunch
"Prawn curry (light, 1 bowl)",180,6.0,17.0,8.0,2.5,1.5,lunch
Tandoori fish (1 piece),150,2.0,23.0,5.0,0.5,0.2,lunch
"Grilled fish (spiced, 1 piece)",140,1.0,24.0,4.5,0.2,0.1,lunch
"Mutton curry (low oil, 1 bowl)",230,5.0,22.0,12.0,2.0,1.5,lunch
"Keema curry (low oil, 1 bowl)",220,5.0,20.0,12.0,2.0,1.5,lunch
"Chicken lollipop (baked, 2 pieces)",210,6.0,22.0,10.0,1.5,0.5,lunch
"Chicken 65 (baked, 1 bowl)",200,5.0,24.0,9.0,1.5,0.5,lunch
"Anda bhurji (2 eggs, 1 bowl)",190,3.5,14.0,13.0,1.5,0.5,lunch
Egg masala (2 boiled eggs in gravy),200,5.0,11.0,14.0,2.5,1.0,lunch
"Fish tikka (baked, 2 pieces)",160,2.5,22.0,6.0,0.8,0.3,lunch
"Chicken tikka (without cream, 2 pieces)",170,2.0,25.0,6.5,0.5,0.2,lunch
"Malai chicken (light, 1 bowl)",190,4.0,23.0,8.0,2.0,0.5,lunch
"Chicken korma (light, 1 bowl)",200,6.0,22.0,9.0,3.0,1.0,lunch
Prawn masala (1 bowl),190,5.0,18.0,9.0,2.5,1.5,lunch
"Fish fry (minimal oil, 1 piece)",150,2.0,21.0,6.0,0.5,0.2,lunch
"Mutton rogan josh (light, 1 bowl)",210,5.0,21.0,11.0,2.0,1.0,lunch
Chicken saagwala (1 bowl),180,5.0,22.0,7.0,2.0,2.5,lunch
Sambar rice (1 plate),350,65.0,10.0,6.0,4.0,6.0,lunch
Curd rice (1 plate),300,55.0,8.0,5.0,5.0,2.5,lunch
Lemon rice (1 plate),320,62.0,6.0,5.0,2.0,3.0,lunch
Tomato rice (1 plate),330,64.0,6.5,5.5,4.5,3.0,lunch
Coconut rice (1 plate),380,60.0,7.0,11.0,3.0,4.0,lunch
Bisi bele bath (1 plate),360,65.0,11.0,6.0,6.0,6.0,lunch
"Puliyodharai (tamarind rice, 1 plate)",350,68.0,6.0,5.0,5.0,4.0,lunch
"Vegetable biryani (light, 1 plate)",380,65.0,8.0,8.0,4.0,4.5,lunch
"Chicken biryani (light, 1 plate)",420,60.0,18.0,10.0,3.5,3.0,lunch
"Egg biryani (light, 1 plate)",390,62.0,14.0,9.0,3.0,3.0,lunch
"Prawn biryani (light, 1 plate)",400,60.0,16.0,10.0,3.0,3.0,lunch
South Indian full meal (rice + sambar + rasam + poriyal),550,95.0,15.0,10.0,5.0,8.0,lunch
Beans poriyal (1 bowl),90,10.0,3.0,4.0,2.5,4.0,lunch
Cabbage poriyal (1 bowl),80,9.0,2.5,3.5,3.0,3.5,lunch
Carrot poriyal (1 bowl),85,11.0,2.0,3.5,4.5,3.0,lunch
Beetroot poriyal (1 bowl),80,10.0,2.0,3.0,5.0,2.5,lunch
Parangikkai kootu (1 bowl),120,16.0,5.0,3.5,3.0,4.0,lunch
Avaraikkai kootu (1 bowl),125,15.0,5.5,4.0,2.5,4.5,lunch
Molagootal (1 bowl),100,14.0,4.0,3.0,2.5,4.0,lunch
Aviyal (1 bowl),130,12.0,3.5,7.0,3.5,5.0,lunch
Chole bhature (1 bhatura + 1 bowl chole),500,70.0,12.0,18.0,4.0,7.0,lunch
Rajma chawal (1 bowl rajma + 1 cup rice),450,75.0,15.0,8.0,3.5,8.0,lunch
Kadhi chawal (1 bowl kadhi + 1 cup rice),400,70.0,10.0,8.0,5.0,3.0,lunch
Aloo paratha with curd (1 paratha + 1 bowl curd),380,50.0,10.0,14.0,4.0,5.5,lunch
Paneer paratha with raita (1 paratha + 1 bowl raita),420,48.0,15.0,16.0,3.5,5.0,lunch
Mix vegetable with 2 rotis,350,55.0,10.0,8.0,4.0,7.0,lunch
Palak paneer with 2 rotis,400,50.0,16.0,14.0,3.5,6.0,lunch
Matar paneer with 2 rotis,420,52.0,16.0,15.0,4.0,5.5,lunch
Dal makhani with rice (1 bowl dal + 1 cup rice),420,70.0,14.0,9.0,3.5,6.0,lunch
Sarson ka saag with makki roti (2 rotis + 1 bowl saag),450,65.0,12.0,14.0,4.0,9.0,lunch
Baingan bharta with 2 rotis,320,52.0,8.0,8.0,5.0,7.0,lunch
Bhindi masala with 2 rotis,330,50.0,8.0,9.0,4.5,6.0,lunch
